https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1641427200000,2022-01-06 0:00:00,BTC/USDT,43421.70,43766.00,42385.83,43080.01,299509.851,12890924257.87606,2967072
1641340800000,2022-01-05 0:00:00,BTC/USDT,45833.41,47075.29,42270.00,43421.69,485477.569,21959888820.89765,4438181
1641254400000,2022-01-04 0:00:00,BTC/USDT,46445.80,47524.36,45445.57,45833.42,292149.750,13573606756.16807,2763606
1641168000000,2022-01-03 0:00:00,BTC/USDT,47280.01,47575.22,45665.40,46445.81,244781.793,11434725784.02273,2367718
1641081600000,2022-01-02 0:00:00,BTC/USDT,47704.35,48000.00,46605.68,47280.00,184795.093,8730148323.60790,1845244
1640995200000,2022-01-01 0:00:00,BTC/USDT,46210.57,47943.77,46210.55,47704.35,179433.584,8461832661.65729,1823098
1640908800000,2021-12-31 0:00:00,BTC/USDT,47095.02,48575.00,45650.00,46210.56,287186.003,13567843473.42067,2742753
1640822400000,2021-12-30 0:00:00,BTC/USDT,46436.53,47911.68,45880.00,47095.02,229931.288,10818483277.72078,2203374
1640736000000,2021-12-29 0:00:00,BTC/USDT,47522.02,48125.97,46000.00,46436.54,274795.378,13014511681.30992,2740566
1640649600000,2021-12-28 0:00:00,BTC/USDT,50707.72,50713.56,47290.00,47522.03,336083.340,16407080716.16083,3423898
1640563200000,2021-12-27 0:00:00,BTC/USDT,50765.73,52134.00,50450.00,50707.72,216225.263,11061080417.43167,2265011
1640476800000,2021-12-26 0:00:00,BTC/USDT,50403.64,51300.00,49350.00,50765.73,184800.616,9267956168.27748,1947977
1640390400000,2021-12-25 0:00:00,BTC/USDT,50809.37,51190.00,50105.00,50403.64,147662.438,7493948259.92037,1640853
1640304000000,2021-12-24 0:00:00,BTC/USDT,50817.94,51805.00,50379.25,50808.55,220208.725,11239397651.05684,2359503
1640217600000,2021-12-23 0:00:00,BTC/USDT,48569.69,51377.74,48020.00,50817.92,255885.480,12639718706.13498,2830824
1640131200000,2021-12-22 0:00:00,BTC/USDT,48875.88,49599.00,48420.02,48569.69,208463.689,10204294033.10858,2632960
1640044800000,2021-12-21 0:00:00,BTC/USDT,46896.82,49298.78,46650.00,48875.15,260008.358,12591846630.47555,3368367
1639958400000,2021-12-20 0:00:00,BTC/USDT,46668.65,47533.42,45530.67,46898.14,273804.259,12694248816.63036,3385680
1639872000000,2021-12-19 0:00:00,BTC/USDT,46815.99,48461.17,46399.37,46668.63,241698.541,11424734107.71985,2869025
1639785600000,2021-12-18 0:00:00,BTC/USDT,46125.33,47336.99,45438.43,46815.99,191006.415,8888783519.25989,2717062
1639699200000,2021-12-17 0:00:00,BTC/USDT,47629.10,47988.27,45373.11,46125.33,326458.135,15254949355.93811,3900693
1639612800000,2021-12-16 0:00:00,BTC/USDT,48870.48,49439.79,47500.00,47624.50,215874.187,10475553466.87223,2699044
1639526400000,2021-12-15 0:00:00,BTC/USDT,48324.00,49479.75,46518.73,48870.48,345239.891,16608174001.39206,4121320
1639440000000,2021-12-14 0:00:00,BTC/USDT,46679.93,48657.92,46255.60,48324.04,266213.627,12568719899.92738,3361316
1639353600000,2021-12-13 0:00:00,BTC/USDT,50057.02,50180.00,45600.00,46679.93,348551.322,16649825351.91293,4064300
1639267200000,2021-12-12 0:00:00,BTC/USDT,49379.51,50768.00,48616.16,50057.01,183434.285,9106252724.30474,2352164
1639180800000,2021-12-11 0:00:00,BTC/USDT,47132.31,49499.05,46724.35,49381.15,210959.992,10208756470.20068,2548340
1639094400000,2021-12-10 0:00:00,BTC/USDT,47539.34,50188.42,46828.23,47136.35,302974.429,14624324088.15633,3440326
1639008000000,2021-12-09 0:00:00,BTC/USDT,50459.61,50773.03,47312.89,47539.76,273086.086,13331462595.94860,3003376
1638921600000,2021-12-08 0:00:00,BTC/USDT,50577.20,51210.60,48533.33,50455.61,238229.884,11927549317.95012,2569992
1638835200000,2021-12-07 0:00:00,BTC/USDT,50424.72,51929.00,50012.00,50577.20,224670.618,11455372238.68916,2571721
1638748800000,2021-12-06 0:00:00,BTC/USDT,49373.83,50888.00,47000.00,50424.72,357711.029,17416560141.64795,3868686
1638662400000,2021-12-05 0:00:00,BTC/USDT,49135.66,49699.49,47755.00,49376.60,286434.382,14016018237.14839,3163309
1638576000000,2021-12-04 0:00:00,BTC/USDT,53611.86,53889.69,40888.89,49135.66,598774.989,28876836071.52302,5884109
1638489600000,2021-12-03 0:00:00,BTC/USDT,56513.56,57670.00,50604.00,53612.00,374132.016,20620928587.23005,3755786
1638403200000,2021-12-02 0:00:00,BTC/USDT,57209.28,57428.49,55800.00,56513.57,249985.255,14156805566.29961,2673918
1638316800000,2021-12-01 0:00:00,BTC/USDT,56978.06,59100.00,56500.00,57209.29,273959.104,15768296334.55757,3149322
1638230400000,2021-11-30 0:00:00,BTC/USDT,57827.97,59224.99,55900.00,56975.00,337624.148,19388577718.16696,3850454
1638144000000,2021-11-29 0:00:00,BTC/USDT,57315.72,58924.21,56715.00,57827.98,215111.466,12407120858.33198,2447845
1638057600000,2021-11-28 0:00:00,BTC/USDT,54738.77,57474.76,53245.00,57315.73,213600.615,11739217936.70817,2393952
1637971200000,2021-11-27 0:00:00,BTC/USDT,53755.66,55300.00,53640.69,54738.77,155119.117,8478100940.12260,1975864
1637884800000,2021-11-26 0:00:00,BTC/USDT,58988.36,59186.41,53500.00,53755.65,378650.919,20945137179.71787,4127437
1637798400000,2021-11-25 0:00:00,BTC/USDT,57165.09,59449.62,57029.00,58988.21,191912.653,11190941838.07731,2413373
1637712000000,2021-11-24 0:00:00,BTC/USDT,57574.24,57775.27,55900.00,57165.08,194683.757,11043276126.50890,2459067
1637625600000,2021-11-23 0:00:00,BTC/USDT,56268.31,57888.00,55250.00,57574.23,267790.325,15216816647.77958,3319305
1637539200000,2021-11-22 0:00:00,BTC/USDT,58648.87,59624.56,55600.00,56268.31,326184.881,18717910073.27998,3832413
1637452800000,2021-11-21 0:00:00,BTC/USDT,59716.28,60052.82,58518.88,58661.39,143887.271,8509909811.76275,2034106
1637366400000,2021-11-20 0:00:00,BTC/USDT,58069.52,59873.84,57372.00,59716.29,173697.342,10188245162.44803,2257300
1637280000000,2021-11-19 0:00:00,BTC/USDT,56921.04,58333.00,55604.00,58069.51,245356.121,14001797579.95711,3004657
1637193600000,2021-11-18 0:00:00,BTC/USDT,60366.97,60999.00,56505.48,56921.05,412021.672,24129304002.96715,4629293
1637107200000,2021-11-17 0:00:00,BTC/USDT,60106.03,60848.85,58336.68,60366.96,287388.873,17181720172.69431,3416114
1637020800000,2021-11-16 0:00:00,BTC/USDT,63654.49,63655.77,58397.14,60106.03,475025.706,28862014876.13343,4669206
1636934400000,2021-11-15 0:00:00,BTC/USDT,65568.38,66395.05,63351.58,63654.49,210026.602,13656636971.01954,2387155
1636848000000,2021-11-14 0:00:00,BTC/USDT,64426.99,65569.99,63640.00,65568.39,146424.701,9450438558.31633,1786912
1636761600000,2021-11-13 0:00:00,BTC/USDT,64156.08,65073.24,63430.01,64427.00,124466.493,7984348166.02606,1585473
1636675200000,2021-11-12 0:00:00,BTC/USDT,64831.20,65500.00,62313.00,64156.08,264576.325,16915954847.28551,3146724
1636588800000,2021-11-11 0:00:00,BTC/USDT,64920.13,65646.98,64147.12,64831.30,178279.275,11575850111.67905,2510140
1636502400000,2021-11-10 0:00:00,BTC/USDT,67010.65,69198.70,62400.51,64920.13,347835.573,23147498978.96334,4348447
1636416000000,2021-11-09 0:00:00,BTC/USDT,67606.96,68675.16,66300.00,67009.98,231843.834,15654216547.79626,3087341
1636329600000,2021-11-08 0:00:00,BTC/USDT,63316.40,67932.89,63308.70,67606.96,274932.146,18088392666.76962,3272069
1636243200000,2021-11-07 0:00:00,BTC/USDT,61511.30,63377.58,61368.26,63316.40,142878.208,8884101795.93602,1799395
1636156800000,2021-11-06 0:00:00,BTC/USDT,61006.00,61645.75,60100.00,61511.30,154919.118,9432009426.66797,1861601
1636070400000,2021-11-05 0:00:00,BTC/USDT,61433.90,62671.48,60762.00,61006.00,157569.637,9697454173.43093,2048592
1635984000000,2021-11-04 0:00:00,BTC/USDT,62946.45,63149.00,60703.00,61431.86,184677.079,11399249536.47138,2147665
1635897600000,2021-11-03 0:00:00,BTC/USDT,63266.69,63613.00,60300.00,62946.45,211190.183,13219637045.22856,2546692
1635811200000,2021-11-02 0:00:00,BTC/USDT,60942.87,64349.55,60659.58,63266.69,217592.062,13660618219.95169,2578549
1635724800000,2021-11-01 0:00:00,BTC/USDT,61347.14,62543.58,59400.00,60942.87,246158.361,15074399515.22613,2574208
1635638400000,2021-10-31 0:00:00,BTC/USDT,61895.19,62462.99,60008.00,61348.61,183599.524,11207623543.66440,1990247
1635552000000,2021-10-30 0:00:00,BTC/USDT,62308.21,62415.85,60631.23,61895.19,156041.523,9612679322.81911,1843670
1635465600000,2021-10-29 0:00:00,BTC/USDT,60622.02,63069.71,60222.00,62308.22,218355.773,13443682100.82851,2463370
1635379200000,2021-10-28 0:00:00,BTC/USDT,58449.36,62641.26,57550.00,60622.03,333323.116,20097525760.43563,3473122
1635292800000,2021-10-27 0:00:00,BTC/USDT,60358.74,61550.00,57865.00,58449.36,329112.396,19537339454.97683,3358588
1635206400000,2021-10-26 0:00:00,BTC/USDT,63129.25,63362.06,59838.05,60358.75,252256.924,15638312967.08455,2733730
1635120000000,2021-10-25 0:00:00,BTC/USDT,60902.82,63795.98,60701.00,63127.04,234201.100,14692569106.66627,2616705
1635033600000,2021-10-24 0:00:00,BTC/USDT,61325.09,61550.00,59504.46,60902.82,245816.821,14885043274.31098,2594160
1634947200000,2021-10-23 0:00:00,BTC/USDT,60734.28,61780.00,59622.00,61325.11,222553.478,13592218440.15612,2490240
1634860800000,2021-10-22 0:00:00,BTC/USDT,62260.33,63796.20,60011.90,60734.27,350359.527,21694368337.15083,3806113
1634774400000,2021-10-21 0:00:00,BTC/USDT,66064.25,66750.00,62000.00,62260.33,478610.458,30800550148.00219,5154202
1634688000000,2021-10-20 0:00:00,BTC/USDT,64314.75,67150.00,63518.81,66064.24,324737.868,21256679160.97886,3807997
1634601600000,2021-10-19 0:00:00,BTC/USDT,62037.92,64500.00,61300.00,64316.70,379243.718,23836964137.71631,4058114
1634515200000,2021-10-18 0:00:00,BTC/USDT,61571.45,62800.00,59897.61,62037.92,333278.481,20556521574.84721,3859785
1634428800000,2021-10-17 0:00:00,BTC/USDT,60925.56,61796.47,58850.00,61571.45,240132.514,14569391373.15171,2991800
1634342400000,2021-10-16 0:00:00,BTC/USDT,61702.33,62444.23,60220.00,60925.56,213251.899,13067491173.45850,2733733
1634256000000,2021-10-15 0:00:00,BTC/USDT,57377.12,63997.61,56900.00,61702.33,493366.513,29726367096.88279,5189976
1634169600000,2021-10-14 0:00:00,BTC/USDT,57393.65,58586.67,56800.00,57378.19,254719.751,14692446487.46952,3039506
1634083200000,2021-10-13 0:00:00,BTC/USDT,56011.83,57822.38,54271.24,57393.65,327714.318,18304667791.64031,3544345
1633996800000,2021-10-12 0:00:00,BTC/USDT,57500.01,57756.52,53750.00,56011.84,349147.775,19709191747.56351,3760362
1633910400000,2021-10-11 0:00:00,BTC/USDT,54700.00,57880.00,54458.00,57500.01,314868.050,17849826167.23144,3488893
1633824000000,2021-10-10 0:00:00,BTC/USDT,54960.79,56789.00,54101.00,54700.00,289072.818,15966267341.69028,3209899
1633737600000,2021-10-09 0:00:00,BTC/USDT,53974.99,55589.00,53656.66,54960.77,167495.393,9179243466.66163,2142375
1633651200000,2021-10-08 0:00:00,BTC/USDT,53814.99,56208.73,53647.30,53975.00,255210.035,13956986828.05278,3022362
1633564800000,2021-10-07 0:00:00,BTC/USDT,55327.45,55337.80,53374.34,53814.99,262974.545,14289443599.27620,3228490
1633478400000,2021-10-06 0:00:00,BTC/USDT,51460.22,56416.02,50410.00,55321.60,418731.748,22242398945.29027,4406727
1633392000000,2021-10-05 0:00:00,BTC/USDT,49199.78,51888.00,49009.21,51455.12,314043.813,15777204363.85077,3327967
1633305600000,2021-10-04 0:00:00,BTC/USDT,48187.99,49544.48,46885.29,49198.22,324424.837,15638433546.81931,3491003
1633219200000,2021-10-03 0:00:00,BTC/USDT,47626.62,49304.12,47071.26,48187.30,212410.375,10220431021.74645,2555217
1633132800000,2021-10-02 0:00:00,BTC/USDT,48123.93,48338.68,47410.00,47626.61,182565.988,8730132627.52512,2094016
1633046400000,2021-10-01 0:00:00,BTC/USDT,43799.49,48450.00,43260.01,48123.94,449491.768,20816747005.41754,4182441
1632960000000,2021-09-30 0:00:00,BTC/USDT,41499.70,44100.00,41387.78,43796.57,389185.646,16818655330.04175,3595137
1632873600000,2021-09-29 0:00:00,BTC/USDT,41002.96,42576.80,40708.73,41499.71,293307.589,12246762409.51776,2890161
1632787200000,2021-09-28 0:00:00,BTC/USDT,42122.69,42749.00,40854.00,41006.32,359745.538,15049002596.37617,3336982
1632700800000,2021-09-27 0:00:00,BTC/USDT,43150.01,44350.00,42059.13,42122.69,285311.606,12386098075.29085,2858510
1632614400000,2021-09-26 0:00:00,BTC/USDT,42646.84,43940.00,40725.01,43150.00,354393.916,15063801544.28196,3234331
1632528000000,2021-09-25 0:00:00,BTC/USDT,42798.49,42950.00,41630.26,42651.58,277084.795,11773712808.98387,2664046
1632441600000,2021-09-24 0:00:00,BTC/USDT,44828.29,45134.33,40650.00,42798.49,608595.520,25937929795.87510,5382969
1632355200000,2021-09-23 0:00:00,BTC/USDT,43520.00,44976.48,43056.00,44828.29,330253.525,14552188970.80982,3230032
1632268800000,2021-09-22 0:00:00,BTC/USDT,40727.83,43989.98,40551.49,43520.00,400849.752,17055828172.61599,3884352
1632182400000,2021-09-21 0:00:00,BTC/USDT,43026.61,43629.60,39503.58,40726.10,683242.002,28674205460.24377,5802228
1632096000000,2021-09-20 0:00:00,BTC/USDT,47256.92,47345.00,42467.86,43026.60,600764.629,26601166549.81395,5157870
1632009600000,2021-09-19 0:00:00,BTC/USDT,48284.61,48364.64,46840.00,47256.91,212631.933,10122579342.97277,2174041
1631923200000,2021-09-18 0:00:00,BTC/USDT,47303.11,48850.00,47044.32,48285.15,207900.413,10031215317.91942,2155659
1631836800000,2021-09-17 0:00:00,BTC/USDT,47745.55,48150.00,46750.00,47303.11,226193.340,10742174762.67011,2357112
1631750400000,2021-09-16 0:00:00,BTC/USDT,48106.13,48488.00,47038.21,47745.55,260044.727,12433719043.28008,2620820
1631664000000,2021-09-15 0:00:00,BTC/USDT,47087.18,48440.93,46675.00,48106.12,244226.370,11624351579.75172,2516058
1631577600000,2021-09-14 0:00:00,BTC/USDT,44975.96,47272.98,44692.90,47087.18,277925.721,12831694974.04345,2897568
1631491200000,2021-09-13 0:00:00,BTC/USDT,46048.02,46933.89,43323.93,44975.96,448942.068,20131171676.01450,4145907
1631404800000,2021-09-12 0:00:00,BTC/USDT,45194.19,46512.20,44746.51,46046.73,223534.630,10201271595.70855,2321178
1631318400000,2021-09-11 0:00:00,BTC/USDT,44860.83,45999.00,44737.40,45193.78,194144.115,8807681962.10374,2214791
1631232000000,2021-09-10 0:00:00,BTC/USDT,46413.88,47037.50,44120.00,44860.83,343533.069,15708080883.28685,3380700
1631145600000,2021-09-09 0:00:00,BTC/USDT,46060.02,47400.00,45500.00,46413.88,309015.750,14346157049.46551,3136000
1631059200000,2021-09-08 0:00:00,BTC/USDT,46864.38,47347.00,44431.00,46062.29,435803.011,20085515480.72311,4352909
1630972800000,2021-09-07 0:00:00,BTC/USDT,52683.98,52950.00,42088.00,46864.39,764140.139,37281067593.00847,6793714
1630886400000,2021-09-06 0:00:00,BTC/USDT,51799.56,52830.00,51040.00,52683.97,297734.284,15423250787.26498,2960058
1630800000000,2021-09-05 0:00:00,BTC/USDT,49942.20,51950.00,49462.59,51799.57,288984.124,14588935796.41607,2959186
1630713600000,2021-09-04 0:00:00,BTC/USDT,50027.09,50582.08,49360.00,49940.74,274956.842,13759937547.89140,2715890
1630627200000,2021-09-03 0:00:00,BTC/USDT,49299.14,51111.00,48333.00,50027.08,430326.386,21513177165.61612,3937764
1630540800000,2021-09-02 0:00:00,BTC/USDT,48842.93,50420.00,48631.20,49299.14,361863.055,17997935761.14562,3429775
1630454400000,2021-09-01 0:00:00,BTC/USDT,47150.32,49160.79,46550.99,48842.94,350108.374,16740393336.66525,3281474
1630368000000,2021-08-31 0:00:00,BTC/USDT,47024.69,48298.00,46731.03,47150.32,365548.209,17331998427.24321,3297842
1630281600000,2021-08-30 0:00:00,BTC/USDT,48795.42,48916.25,46876.49,47024.70,351830.754,16883434689.08808,3200639
1630195200000,2021-08-29 0:00:00,BTC/USDT,48931.99,49769.20,47741.31,48795.41,315105.499,15338512478.06670,2921430
1630108800000,2021-08-28 0:00:00,BTC/USDT,49082.13,49333.00,48395.65,48931.99,222793.024,10891802522.97636,2305599
1630022400000,2021-08-27 0:00:00,BTC/USDT,46854.22,49220.00,46359.97,49083.98,403667.012,19245054649.63430,3627060
1629936000000,2021-08-26 0:00:00,BTC/USDT,48992.65,49380.00,46280.00,46853.06,475183.123,22473235582.72602,4109457
1629849600000,2021-08-25 0:00:00,BTC/USDT,47719.37,49297.80,47130.57,48992.65,389100.384,18737744219.73293,3410366
1629763200000,2021-08-24 0:00:00,BTC/USDT,49523.23,49888.88,47600.00,47719.36,398682.002,19450210328.35084,3585585
1629676800000,2021-08-23 0:00:00,BTC/USDT,49273.28,50600.00,49075.01,49523.91,355733.496,17745733776.00453,3345792
1629590400000,2021-08-22 0:00:00,BTC/USDT,48846.11,49556.20,48075.81,49273.28,294672.223,14395479952.62928,2925925
1629504000000,2021-08-21 0:00:00,BTC/USDT,49332.99,49833.00,48250.00,48848.29,347594.451,17049427213.44250,3387346
1629417600000,2021-08-20 0:00:00,BTC/USDT,46772.00,49500.00,46650.00,49332.74,401499.081,19242378733.46022,3984145
1629331200000,2021-08-19 0:00:00,BTC/USDT,44714.09,47100.00,43938.38,46772.00,439402.162,19883402232.55334,4289786
1629244800000,2021-08-18 0:00:00,BTC/USDT,44704.85,46050.00,44227.32,44714.09,395836.158,17865646754.68377,4068589
1629158400000,2021-08-17 0:00:00,BTC/USDT,45926.23,47194.00,44412.01,44704.84,474316.400,21777823959.04203,4617189
1629072000000,2021-08-16 0:00:00,BTC/USDT,47006.02,48074.23,45682.03,45926.23,412537.605,19341043030.76062,4045954
1628985600000,2021-08-15 0:00:00,BTC/USDT,47083.75,47388.75,45480.00,47006.02,370950.807,17184325858.98103,3856811
1628899200000,2021-08-14 0:00:00,BTC/USDT,47792.52,48300.00,46000.00,47083.74,374368.796,17592436753.37547,3874327
1628812800000,2021-08-13 0:00:00,BTC/USDT,44385.09,47980.69,44208.88,47792.52,438025.460,20268188738.82734,4397367
1628726400000,2021-08-12 0:00:00,BTC/USDT,45522.13,46226.67,43800.00,44385.09,468276.056,21002449071.36338,4731727
